,site,Verz,ObjID,Prozent
0,02_Burials_Center,01 a,37,0.3627450980392157
1,02_Burials_Center,01 b,2,0.0196078431372549
2,02_Burials_Center,01 d,2,0.0196078431372549
3,02_Burials_Center,01 e,2,0.0196078431372549
4,02_Burials_Center,10 a,6,0.058823529411764705
5,02_Burials_Center,10 b,1,0.00980392156862745
6,02_Burials_Center,11 b,2,0.0196078431372549
7,02_Burials_Center,11 c,2,0.0196078431372549
8,02_Burials_Center,11 f,12,0.11764705882352941
9,02_Burials_Center,12,5,0.049019607843137254
10,02_Burials_Center,13,2,0.0196078431372549
11,02_Burials_Center,14,3,0.029411764705882353
12,02_Burials_Center,02,2,0.0196078431372549
13,02_Burials_Center,04,17,0.16666666666666666
14,02_Burials_Center,05 a,1,0.00980392156862745
15,02_Burials_Center,07 a,1,0.00980392156862745
16,02_Burials_Center,07 b,1,0.00980392156862745
17,02_Burials_Center,08 a,4,0.0392156862745098
0,03_Burials_Church,01 a,109,0.36454849498327757
1,03_Burials_Church,01 b,13,0.043478260869565216
2,03_Burials_Church,01 c,1,0.0033444816053511705
3,03_Burials_Church,10 a,2,0.006688963210702341
4,03_Burials_Church,10 b,4,0.013377926421404682
5,03_Burials_Church,11 a,2,0.006688963210702341
6,03_Burials_Church,11 b,4,0.013377926421404682
7,03_Burials_Church,11 c,1,0.0033444816053511705
8,03_Burials_Church,16,27,0.0903010033444816
9,03_Burials_Church,02,56,0.18729096989966554
10,03_Burials_Church,03,4,0.013377926421404682
11,03_Burials_Church,04,14,0.046822742474916385
12,03_Burials_Church,05 a,26,0.08695652173913043
13,03_Burials_Church,05 b,2,0.006688963210702341
14,03_Burials_Church,06,1,0.0033444816053511705
15,03_Burials_Church,07 a,8,0.026755852842809364
16,03_Burials_Church,07 b,1,0.0033444816053511705
17,03_Burials_Church,08 a,2,0.006688963210702341
18,03_Burials_Church,08 b,21,0.07023411371237458
19,03_Burials_Church,09,1,0.0033444816053511705
0,04_Pit13_Church,01 a,45,0.7258064516129032
1,04_Pit13_Church,01 b,1,0.016129032258064516
2,04_Pit13_Church,01 e,1,0.016129032258064516
3,04_Pit13_Church,10 b,3,0.04838709677419355
4,04_Pit13_Church,11 a,1,0.016129032258064516
5,04_Pit13_Church,11 c,1,0.016129032258064516
6,04_Pit13_Church,02,1,0.016129032258064516
7,04_Pit13_Church,04,8,0.12903225806451613
8,04_Pit13_Church,08 a,1,0.016129032258064516
0,05_Survey,01 a,7,0.28
1,05_Survey,01 b,2,0.08
2,05_Survey,01 e,4,0.16
3,05_Survey,10 a,2,0.08
4,05_Survey,10 b,1,0.04
5,05_Survey,14,1,0.04
6,05_Survey,15,4,0.16
7,05_Survey,02,1,0.04
8,05_Survey,04,1,0.04
9,05_Survey,05 a,1,0.04
10,05_Survey,08 a,1,0.04
0,01_Pit11_Church,01 a,14,0.25925925925925924
1,01_Pit11_Church,01 e,2,0.037037037037037035
2,01_Pit11_Church,11 a,3,0.05555555555555555
3,01_Pit11_Church,16,1,0.018518518518518517
4,01_Pit11_Church,17,14,0.25925925925925924
5,01_Pit11_Church,04,4,0.07407407407407407
6,01_Pit11_Church,08 a,14,0.25925925925925924
7,01_Pit11_Church,08 b,2,0.037037037037037035
